question_id,user_id,category,city,question_text,created_at,created_date,created_month,created_year,processed_at
1,4,Business,Chennai,How can I start learning machine learning?,2026-04-20 15:56:00,2026-04-20,2026-04,2026,2026-09-03 11:34:20.468506
2,14,Health,Mumbai,How can I learn Python?,2026-06-22 02:28:00,2026-06-22,2026-06,2026,2026-09-03 11:34:20.468506
3,10,General,Pune,How can I prepare for a technical interview?,2026-05-27 22:08:00,2026-05-27,2026-05,2026,2026-09-03 11:34:20.468506
4,8,Technology,Hyderabad,What are good resources for learning technology?,2026-05-09 07:52:00,2026-05-09,2026-05,2026,2026-09-03 11:34:20.468506
5,15,Business,Mumbai,What is data engineering?,2026-01-19 07:06:00,2026-01-19,2026-01,2026,2026-09-03 11:34:20.468506
6,25,Programming,Hyderabad,What is data engineering?,2026-03-01 18:20:00,2026-03-01,2026-03,2026,2026-09-03 11:34:20.468506
7,18,General,Pune,What is the difference between SQL and NoSQL?,2026-06-05 11:02:00,2026-06-05,2026-06,2026,2026-09-03 11:34:20.468506
8,1,Career,Pune,What is the difference between SQL and NoSQL?,2026-03-10 04:16:00,2026-03-10,2026-03,2026,2026-09-03 11:34:20.468506
9,9,Programming,Hyderabad,How can I start learning machine learning?,2026-05-04 08:39:00,2026-05-04,2026-05,2026,2026-09-03 11:34:20.468506
10,24,Business,Mumbai,How can I improve my career skills?,2026-06-12 15:33:00,2026-06-12,2026-06,2026,2026-09-03 11:34:20.468506
11,26,Career,Chennai,How can I prepare for a technical interview?,2026-06-24 04:48:00,2026-06-24,2026-06,2026,2026-09-03 11:34:20.468506
12,3,Technology,Ahmedabad,What is data engineering?,2026-03-06 21:09:00,2026-03-06,2026-03,2026,2026-09-03 11:34:20.468506
13,2,Programming,Delhi,What is data engineering?,2026-01-23 00:18:00,2026-01-23,2026-01,2026,2026-09-03 11:34:20.468506
14,4,Career,Ahmedabad,How can I improve my programming skills?,2026-05-26 08:51:00,2026-05-26,2026-05,2026,2026-09-03 11:34:20.468506
15,25,Programming,Delhi,What is the difference between SQL and NoSQL?,2026-01-28 17:07:00,2026-01-28,2026-01,2026,2026-09-03 11:34:20.468506
16,11,Health,Chennai,How can I improve my programming skills?,2026-03-04 19:58:00,2026-03-04,2026-03,2026,2026-09-03 11:34:20.468506
17,2,Technology,Ahmedabad,How can I improve my programming skills?,2026-05-19 08:59:00,2026-05-19,2026-05,2026,2026-09-03 11:34:20.468506
18,28,Business,Bangalore,How can I learn data analytics?,2026-06-02 06:19:00,2026-06-02,2026-06,2026,2026-09-03 11:34:20.468506
19,1,Career,Chennai,How can I learn Python?,2026-01-22 13:45:00,2026-01-22,2026-01,2026,2026-09-03 11:34:20.468506
20,5,Technology,Hyderabad,What is the best way to learn SQL?,2026-03-17 23:34:00,2026-03-17,2026-03,2026,2026-09-03 11:34:20.468506
21,4,Technology,Mumbai,How can I learn Python?,2026-01-08 23:06:00,2026-01-08,2026-01,2026,2026-09-03 11:34:20.468506
